depth,method,rmse,pearson,cluster_ari,cluster_nmi,marker_spearman,marker_top50_overlap,deg_top100_overlap,logfc_pearson,logfc_spearman,deg_direction_consistency,module_score_pearson
0.25,cvae,0.555,0.773,0.803,0.863,0.914,0.914,0.6,0.991,0.941,1.0,0.985
0.25,depthdiff,0.493,0.834,0.938,0.93,0.952,0.93,0.79,0.994,0.972,1.0,0.988
0.25,mlp,0.496,0.826,0.803,0.87,0.907,0.921,0.78,0.992,0.95,1.0,0.986
0.25,raw_low_depth,0.544,0.799,0.92,0.911,0.93,0.832,0.64,0.954,0.948,1.0,0.981
0.25,sae,0.557,0.771,0.806,0.871,0.912,0.924,0.56,0.992,0.941,1.0,0.986
0.5,cvae,0.545,0.782,0.947,0.939,0.916,0.921,0.59,0.992,0.943,1.0,0.988
0.5,depthdiff,0.385,0.901,0.686,0.851,0.968,0.927,0.84,0.996,0.98,1.0,0.994
0.5,mlp,0.443,0.865,0.807,0.875,0.918,0.914,0.81,0.994,0.955,1.0,0.991
0.5,raw_low_depth,0.407,0.89,0.941,0.934,0.96,0.879,0.71,0.979,0.97,1.0,0.992
0.5,sae,0.55,0.779,0.811,0.876,0.914,0.917,0.57,0.993,0.943,1.0,0.989
0.75,cvae,0.542,0.785,0.807,0.866,0.916,0.911,0.59,0.992,0.943,1.0,0.989
0.75,depthdiff,0.33,0.928,0.81,0.884,0.977,0.949,0.91,0.997,0.987,1.0,0.996
0.75,mlp,0.42,0.879,0.801,0.866,0.921,0.924,0.83,0.994,0.956,1.0,0.992
0.75,raw_low_depth,0.34,0.923,0.964,0.958,0.972,0.889,0.81,0.987,0.979,1.0,0.995
0.75,sae,0.547,0.781,0.806,0.866,0.916,0.917,0.59,0.992,0.942,1.0,0.99
